session_id,complete,planned_cards,answered_sentences,distinct_rating1,distinct_rating2
ae3281fd-d3ea-4ce9-83cc-1432ebecc84a,False,31,2,0,0
af41eea7-8953-4167-a435-f618fc76583f,False,11,0,0,0
af8cb27a-82b0-4540-b537-d4ef5ce0c691,False,16,11,8,0
b41acf7a-b7a4-43da-877e-f07af95139b8,True,31,25,25,3
b591c40a-6fd8-4ac8-a679-56d1127fd36a,True,27,25,18,4
b6eb4023-6956-4c69-b96e-658757cd4179,False,31,5,5,0
b907f54e-a088-4aba-88da-27acc0950079,False,17,3,0,1
ba39041d-d41e-4012-b8c5-f84410088f53,False,29,15,11,1
bb3e4caf-4df9-438b-b519-2e552ebff89a,True,26,21,8,0
beaadcef-3d2b-4504-a74e-d0dc74e26249,True,18,17,11,5
bed002df-7f5b-4a76-b2dd-c28a81379033,True,31,25,28,3
c1790742-0443-45a0-b617-050a3cd71a26,False,20,3,5,1
c5d4eaad-2643-46d4-a8dd-7c346cf52594,False,27,0,0,0
c81e7d7c-4579-46a6-825c-14dcbff8adf3,False,16,3,2,1
c9ac1303-a9f0-4881-82c9-cbe5f1ae4991,True,22,18,17,1
cd158299-5482-42d9-b82c-fdac44031bc1,True,30,25,22,8
cd159894-c0f1-4f3c-a915-d1a329d6f8af,True,30,25,17,6
d06d0d23-d034-4b3b-8537-fffaba313955,False,30,5,6,1
db13b87a-912e-48c1-88f9-1203deece1cf,False,31,0,0,0
e154a5dd-562e-45ad-80ee-e19fca3e59ab,False,27,12,10,0
eb742964-2449-468f-893a-3908481b05ed,True,17,18,10,5
ed74deec-4f20-4fd8-945c-7553c5eb21c6,False,31,19,33,2
efa0ce5e-50bc-4f7a-86a5-87d88e06e2cf,True,14,13,13,1
f1c55b33-61c5-49dc-a468-78f72e82a3d9,False,24,14,3,0
f3b74139-7e93-43ab-b400-b97385160d82,False,31,18,28,2
f594b75d-b854-4ddd-848b-7f643c295a94,True,11,10,8,0
fba53619-8141-47bd-9861-ef39fd5740ea,False,31,18,15,2
fbdd8bcb-3d76-49a5-b350-e1734d6e2595,True,28,22,17,0
fc630d9f-e675-47d1-a029-db95505f383f,True,5,5,30,0
